Hall Room 4
Chest	Chest	This is a chest	15	4
BasicEntity	Chair	This is for sitting!	4	6
BasicEntity	Chair	This is for sitting!	5	6
BasicEntity	Chair	This is for sitting!	12	6
BasicEntity	Table	This is a table.	13	6
BasicEntity	Table	This is a table.	14	6
BasicEntity	Table	This is a table.	4	7
BasicEntity	Table	This is a table.	5	7
BasicEntity	Chair	This is for sitting!	6	7
BasicEntity	Chair	This is for sitting!	7	7
BasicEntity	Chair	This is for sitting!	12	7
BasicEntity	Table	This is a table.	13	7
BasicEntity	Table	This is a table.	14	7
BasicEntity	Table	This is a table.	4	8
BasicEntity	Table	This is a table.	5	8
BasicEntity	Table	This is a table.	6	8
BasicEntity	Table	This is a table.	7	8
BasicEntity	Chair	This is for sitting!	12	8
BasicEntity	Table	This is a table.	13	8
BasicEntity	Table	This is a table.	14	8
BasicEntity	Table	This is a table.	4	9
BasicEntity	Table	This is a table.	5	9
BasicEntity	Table	This is a table.	6	9
BasicEntity	Table	This is a table.	7	9
BasicEntity	Chair	This is for sitting!	12	9
BasicEntity	Table	This is a table.	13	9
BasicEntity	Table	This is a table.	14	9
BasicEntity	Chair	This is for sitting!	4	10
BasicEntity	Chair	This is for sitting!	5	10
BasicEntity	Chair	This is for sitting!	6	10
BasicEntity	Chair	This is for sitting!	7	10
